object_id,J_000,J_001,J_002,J_003,J_004,J_005,J_006,J_007,J_008,J_009,J_010,J_011,J_012,J_013,J_014,J_015,J_016,J_017,J_018,J_019,J_020,J_021,J_022,J_023,J_024,J_025,J_026,J_027,J_028,J_029,J_030,J_031,J_032,J_033,J_034,J_035,J_036,J_037,J_038,J_039,J_040,J_041,J_042,J_043,J_044,J_045,J_046,J_047,J_048,J_049,J_050,J_051,J_052,J_053,J_054,J_055,J_056,J_057,J_058,J_059,J_060,J_061,J_062,J_063,J_064,J_065,J_066,J_067,J_068,J_069,J_070,J_071,J_072,J_073,J_074,J_075,J_076,J_077,J_078,J_079,J_080,J_081,J_082,J_083,J_084,J_085,J_086,J_087,J_088,J_089,J_090,J_091,J_092,J_093,J_094,J_095,J_096,J_097,J_098,J_099,J_100,J_101,J_102,J_103,J_104,J_105,J_106,J_107,J_108,J_109,J_110,J_111,J_112,J_113,J_114,J_115,J_116,J_117,J_118,J_119,J_120,J_121,J_122,J_123,J_124,J_125,J_126,J_127,J_128,J_129,J_130,J_131,J_132,J_133,J_134,J_135,J_136,J_137,J_138,J_139,J_140,J_141,J_142,J_143,J_144,J_145,J_146,J_147,J_148,J_149,J_150,J_151,J_152,J_153,J_154,J_155,J_156,J_157,J_158,J_159,J_160,J_161,J_162,J_163,J_164,J_165,J_166,J_167,J_168,J_169,J_170,J_171,J_172,J_173,J_174,J_175,J_176,J_177,J_178,J_179,J_180,J_181,J_182,J_183,J_184,J_185,J_186,J_187,J_188,J_189,J_190,J_191,J_192,J_193,J_194,J_195,J_196,J_197,J_198,J_199,J_200,J_201,J_202,J_203,J_204,J_205,J_206,J_207,J_208,J_209,J_210,J_211,J_212,J_213,J_214,J_215,J_216,J_217,J_218,J_219,J_220,J_221,J_222,J_223,J_224,J_225,J_226,J_227,J_228,J_229,J_230,J_231,J_232,J_233,J_234,J_235,J_236,J_237,J_238,J_239
line_1,477.0,487.7573221757322,512.0292887029289,533.2175732217573,545.5941422594142,551.2426778242677,555.0,550.6192468619247,560.4351464435147,559.8577405857741,539.4853556485356,530.0,529.0,526.0,507.3179916317992,488.72803347280336,482.0,471.0,463.69456066945617,462.3221757322176,454.9414225941423,456.5230125523012,463.73221757322176,453.16736401673637,461.6108786610877,469.21338912133893,473.1715481171549,465.0,468.72803347280325,475.8075313807532,464.3682008368201,466.10460251046027,463.25941422594144,449.6066945606695,444.0502092050209,431.2887029288704,401.1255230125527,374.98326359832646,362.28870292887035,342.3430962343098,303.9414225941423,304.8200836820083,297.9539748953976,281.3221757322176,265.60669456066955,270.0,264.4979079497909,244.84937238493754,241.87029288702925,245.0,252.71966527196648,251.92468619246858,261.10460251046015,264.37238493723856,260.0,256.6778242677825,254.45606694560647,256.9330543933055,245.84518828451903,240.31799163179934,236.8242677824268,227.3640167364019,224.83682008368228,224.2845188284518,208.53138075313817,197.61924686192486,184.41004184100424,180.355648535565,179.40167364016747,164.74895397489544,165.0,163.9539748953975,174.30543933054383,180.34309623430968,195.0502092050207,212.79916317991626,223.42259414225933,242.5648535564847,252.0,265.42259414225873,286.2343096234309,305.34309623430954,319.9205020920499,326.02928870292834,339.5230125523012,349.623430962343,352.6778242677824,345.2677824267785,332.071129707113,312.87866108786625,283.94560669456075,261.0502092050211,244.9958158995818,227.569037656904,194.77405857740632,176.44351464435167,150.81589958159054,117.17154811715531,91.22594142259449,75.4100418410043,68.43933054393295,64.99163179916282,58.0,57.39748953974915,59.0,66.807531380753,82.25523012552291,95.21338912133876,106.0,113.38075313807548,125.30543933054366,149.07531380753088,169.72803347280325,183.43096234309607,185.9330543933055,196.2552301255229,191.76987447698733,189.8786610878662,193.89121338912105,205.64853556485346,202.35146443514643,212.05439330543925,213.4853556485359,218.9205020920498,228.41841004184116,228.93305439330538,235.422594142259,254.81589958158995,278.93723849372367,295.37238493723726,312.5230125523005,327.29288702928784,353.1799163179915,373.7447698744769,398.48117154811666,411.89539748953973,427.4016736401675,446.60251046025076,453.5062761506273,470.12133891213307,480.58995815899596,478.4435146443515,482.81589958159,485.18410041841025,469.7238493723862,456.2259414225947,449.80334728033563,434.6736401673642,430.0,411.8953974895401,400.1589958158995,391.7866108786616,377.88702928870333,374.5481171548115,358.62343096234355,358.09205020920524,361.9707112970706,369.7196652719665,373.0,376.23430962343133,383.4058577405852,393.5857740585773,394.9372384937238,399.86610878661065,414.0,410.0167364016737,397.3723849372378,406.694560669456,407.539748953976,395.4100418410048,377.50209205020934,365.401673640167,350.836820083682,333.0,320.38075313807605,301.987447698745,286.9958158995825,268.9539748953977,261.1966527196657,246.26359832636015,238.15481171548134,220.92468619246947,212.0,206.68200836820094,196.31380753138177,197.06276150627596,214.861924686192,226.44769874476987,233.37656903765614,246.85355648535528,255.77824267782415,259.6485355648529,283.3305439330529,304.66945606694594,314.2887029288695,334.0711297071128,341.7740585774055,356.71548117154754,364.1799163179914,360.1171548117158,353.94979079497955,341.7782426778247,340.9958158995815,329.95815899581635,319.60251046025144,314.9497907949792,305.40167364016725,291.74058577405907,296.5230125523008,305.36820083681977,305.0,312.8410041841006,323.02092050209166,336.58577405857704,347.3598326359837,359.0,367.08368200836827,364.464435146444,372.23849372384905,381.0292887029291,374.3556485355651,366.9581589958167,359.12552301255147,358.74058577405907,339.3598326359838,317.52301255230213,290.13807531380786,280.0,266.330543933055,248.54393305439376,227.65271966527223,199.81171548117166,190.30125523012674,169.32635983263646,141.51464435146482,139.0,124.21757322175787,112.0,115.29707112970695,127.0
line_2,353.0,370.7029288702929,380.10878661087867,383.21757322175733,383.0,389.2426778242678,395.21757322175733,398.5397489539749,395.0,390.836820083682,388.5439330543933,383.8033472803348,373.6945606694561,370.8451882845188,358.4769874476988,348.27196652719664,345.6234309623431,344.0,343.9790794979079,353.0,340.7656903765691,343.1422594142259,356.73221757322176,346.08368200836816,351.3054393305439,355.5732217573222,348.0,351.489539748954,352.8410041841004,348.38493723849365,344.9121338912134,319.732217573222,299.25941422594144,291.00836820083686,272.1506276150628,236.19246861924694,211.08368200836847,185.9581589958161,157.51046025104617,135.3430962343098,116.76569037656914,96.76987447698752,85.19246861924701,71.88702928870293,65.92887029288697,62.0,73.00418410041819,81.03765690376561,89.0,104.0,103.85355648535568,130.54811715481142,168.48535564853537,187.51046025104583,208.87447698744757,226.33054393305437,240.41004184100404,263.0,285.8493723849366,308.26359832635984,308.8242677824268,326.878661087866,331.25523012552344,339.5690376569036,352.46861924686186,352.0,341.0,335.0,330.79916317991626,330.24686192468636,333.19246861924694,335.092050209205,338.83263598326306,356.31380753138063,361.96652719665286,366.7196652719665,382.42259414225936,388.9372384937239,397.6569037656902,421.2970711297069,424.3514644351463,431.9372384937238,443.8200836820083,460.0,466.4769874476988,463.0,454.77405857740587,442.845188284519,448.8577405857739,441.4393305439331,418.7364016736402,407.0502092050211,390.6610878661091,375.9414225941424,358.88702928870316,336.4435146443517,318.7782426778245,314.8158995815901,300.2259414225945,284.41004184100433,273.43933054393295,271.0,274.0,282.40167364016725,283.10460251046015,289.09623430962347,299.2761506276145,299.6066945606694,300.8326359832634,314.16736401673586,334.3221757322175,326.98744769874486,330.6359832635984,322.2761506276158,309.732217573222,299.4895397489542,284.38075313807605,264.15062761506346,241.05439330543948,230.87866108786633,216.12133891213398,194.41841004184116,176.12133891213398,168.76987447698755,160.41841004184116,152.33472803347308,143.4309623430964,147.5439330543933,147.0376569037658,161.0,173.23849372384976,182.95815899581604,198.57322175732202,214.4686192468615,238.3849372384933,267.133891213389,294.19665271966505,312.9037656903761,326.4979079497909,332.707112970711,352.41004184100404,372.0,376.7238493723849,374.77824267782415,373.0,372.0,368.31380753138063,354.6736401673642,345.8995815899586,336.26359832636007,328.5983263598325,314.644351464436,297.732217573222,287.35564853556554,268.62343096234355,266.09205020920524,255.5146443514647,256.35983263598325,262.06276150627593,257.46861924686266,254.82845188284568,253.17154811715454,248.0,246.86610878661065,248.0,244.02510460251054,239.3138075313811,230.61087866108804,223.09205020920479,223.60251046025118,218.75313807531398,220.89958158995825,212.19246861924688,208.0,206.84518828451903,196.4937238493725,197.4309623430957,204.5815899581591,194.3179916317994,199.08786610878673,210.05439330543925,207.76987447698778,207.83263598326317,233.86192468619143,263.67782426778183,275.1464435146439,294.1171548117152,319.0669456066945,341.3012552301249,366.1338912133882,391.8912133891208,416.2970711297058,442.40585774058496,452.6610878661082,474.7364016736397,495.5355648535564,502.11297071129724,513.7154811715475,515.2301255230129,508.0,477.82845188284546,470.35564853556497,459.01673640167417,440.26359832636064,424.7112970711314,400.7489539748959,392.3933054393311,374.7280334728045,370.5230125523008,371.63179916318023,365.0,369.20502092050293,362.0,374.7238493723847,384.0,390.25941422594116,399.8326359832634,408.535564853556,418.33472803347166,426.0292887029291,425.6778242677825,427.3263598326361,433.94979079497944,419.74058577405907,409.0,406.92050209205036,395.6903765690394,377.43514644351507,353.062761506277,331.5439330543938,315.46861924686254,298.8702928870299,278.6820083682028,254.65271966527294,227.78661087866206,203.4351464435153,184.0,172.81171548117223,148.0543933054396,147.0
x_axis_J_x_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
y_axis_J_0_y,0.0,2.594142259414226,5.188284518828452,7.7824267782426775,10.376569037656903,12.97071129707113,15.564853556485355,18.15899581589958,20.753138075313807,23.347280334728033,25.94142259414226,28.535564853556483,31.12970711297071,33.72384937238493,36.31799163179916,38.91213389121339,41.50627615062761,44.10041841004184,46.69456066945607,49.28870292887029,51.88284518828452,54.47698744769874,57.071129707112966,59.66527196652719,62.25941422594142,64.85355648535564,67.44769874476987,70.04184100418409,72.63598326359832,75.23012552301255,77.82426778242677,80.418410041841,83.01255230125523,85.60669456066945,88.20083682008368,90.7949790794979,93.38912133891213,95.98326359832636,98.57740585774059,101.17154811715481,103.76569037656904,106.35983263598325,108.95397489539748,111.5481171548117,114.14225941422593,116.73640167364016,119.33054393305439,121.92468619246861,124.51882845188284,127.11297071129707,129.70711297071128,132.30125523012552,134.89539748953973,137.48953974895397,140.08368200836819,142.67782426778243,145.27196652719664,147.86610878661088,150.4602510460251,153.05439330543933,155.64853556485355,158.2426778242678,160.836820083682,163.43096234309624,166.02510460251045,168.61924686192467,171.2133891213389,173.80753138075312,176.40167364016736,178.99581589958157,181.5899581589958,184.18410041841003,186.77824267782427,189.37238493723848,191.96652719665272,194.56066945606693,197.15481171548117,199.7489539748954,202.34309623430963,204.93723849372384,207.53138075313808,210.1255230125523,212.7196652719665,215.31380753138075,217.90794979079496,220.5020920502092,223.0962343096234,225.69037656903765,228.28451882845187,230.8786610878661,233.47280334728032,236.06694560669456,238.66108786610877,241.255230125523,243.84937238493723,246.44351464435147,249.03765690376568,251.6317991631799,254.22594142259413,256.8200836820084,259.41422594142256,262.0083682008368,264.60251046025104,267.1966527196653,269.79079497907946,272.3849372384937,274.97907949790795,277.5732217573222,280.16736401673637,282.7615062761506,285.35564853556485,287.9497907949791,290.5439330543933,293.1380753138075,295.73221757322176,298.32635983263594,300.9205020920502,303.5146443514644,306.10878661087867,308.70292887029285,311.2970711297071,313.89121338912133,316.4853556485356,319.07949790794976,321.673640167364,324.26778242677824,326.8619246861925,329.45606694560666,332.0502092050209,334.64435146443515,337.23849372384933,339.8326359832636,342.4267782426778,345.02092050209205,347.61506276150624,350.2092050209205,352.8033472803347,355.39748953974896,357.99163179916314,360.5857740585774,363.1799163179916,365.77405857740587,368.36820083682005,370.9623430962343,373.55648535564853,376.1506276150627,378.74476987447696,381.3389121338912,383.93305439330544,386.5271966527196,389.12133891213387,391.7154811715481,394.30962343096235,396.90376569037653,399.4979079497908,402.092050209205,404.68619246861925,407.28033472803344,409.8744769874477,412.4686192468619,415.06276150627616,417.65690376569034,420.2510460251046,422.8451882845188,425.439330543933,428.03347280334725,430.6276150627615,433.22175732217573,435.8158995815899,438.41004184100416,441.0041841004184,443.59832635983264,446.1924686192468,448.78661087866107,451.3807531380753,453.97489539748955,456.56903765690373,459.163179916318,461.7573221757322,464.3514644351464,466.94560669456064,469.5397489539749,472.1338912133891,474.7280334728033,477.32217573221754,479.9163179916318,482.510460251046,485.1046025104602,487.69874476987445,490.2928870292887,492.88702928870293,495.4811715481171,498.07531380753136,500.6694560669456,503.2635983263598,505.857740585774,508.45188284518827,511.0460251046025,513.6401673640167,516.2343096234309,518.8284518828451,521.4225941422594,524.0167364016736,526.6108786610879,529.2050209205021,531.7991631799163,534.3933054393306,536.9874476987447,539.5815899581589,542.1757322175732,544.7698744769874,547.3640167364016,549.9581589958159,552.5523012552301,555.1464435146444,557.7405857740586,560.3347280334727,562.928870292887,565.5230125523012,568.1171548117154,570.7112970711297,573.3054393305439,575.8995815899582,578.4937238493724,581.0878661087866,583.6820083682009,586.276150627615,588.8702928870292,591.4644351464435,594.0585774058577,596.6527196652719,599.2468619246862,601.8410041841004,604.4351464435147,607.0292887029289,609.623430962343,612.2175732217573,614.8117154811715,617.4058577405857,620.0
